supplier_id,supplier_name,contact_name,phone,email,street,city,state,zip_code
1,Owens and Sons,Barbara Bowen,+1-540-669-9582,alice72@example.com,08147 Woods Plains,Elizabethfort,Idaho,92267
2,Ritter PLC,Veronica Lindsey,+1-630-872-7448,sharon49@example.net,1710 Jimenez Port Apt. 521,Manuelport,West Virginia,28230
3,Larsen-Griffin,Kendra Gould MD,+1-248-572-0067,pattersonrita@example.net,7180 Travis Ferry Apt. 869,Martinezborough,Louisiana,47484
4,West PLC,Catherine Prince,+1-835-539-9093,fpatterson@example.com,3031 Freeman Mountains Suite 187,Lake Jonathan,West Virginia,85717
5, Farmer and Thompson,Taylor Clark,+1-952-392-8388,dswanson@example.org,580 Hammond Villages,Kathleenland,Massachusetts,11007
6,Johnson-Arnold,Ronald White,+1-730-753-7725,qmartin@example.org,5394 Hubbard Expressway Apt. 651,Melissaview,Connecticut,15861
7,Brady LLC,Lisa Brown,+1-496-923-9436,mtaylor@example.net,54774 Mckenzie Ferry,South Victorborough,Oregon,83240
8,Rodriguez-Burns,Richard Armstrong,+1-263-311-0463,tonymorris@example.net,4869 Mccann Brook Suite 124,Hendersonfurt,North Carolina,63748
9,Brown Inc,Nicholas Cook,+1-821-604-8708,wellskaren@example.org,558 Lisa View,Davidville,Nebraska,62398
10, Chandler and Gray,John Rodriguez,+1-879-534-2495,dleblanc@example.net,412 Gonzalez Mountain,South Markshire,West Virginia,81908
11,Smith Inc,Chad Thomas,+1-427-383-0056,hernandezlaura@example.com,355 Kevin Plains Apt. 612,Georgemouth,Montana,39680
12,Floyd and Sons,Chelsea Hickman,+1-256-464-7764,martinkyle@example.org,6761 Joseph Mount Suite 240,Johnberg,Texas,55082
13,Hendrix-Lowe,Mallory Molina,+1-405-841-4239,croman@example.org,8421 Brown Stravenue,East Markmouth,Wisconsin,95769
14,Tran-Mayer,Casey Daniels,+1-344-746-5794,whitestacey@example.org,73423 Anderson Curve,North Richardton,Michigan,63748
15,Ortega LLC,Gregory Crawford,+1-632-852-7287,adamnewman@example.com,80420 Bates Vista,Lake John,Oregon,99695
16, Christian and Duncan,Eric Brown,+1-713-634-9816,lauren41@example.org,03768 Jones Mall,Spencerville,Texas,85166
17,Thompson-Lopez,Donald Price,+1-996-486-8224,johnshaffer@example.net,446 May Stravenue Suite 126,North Carolborough,Illinois,91222
18,Williams LLC,Timothy Avery,+1-626-986-9990,daniel14@example.com,77233 Deanna Valleys Suite 688,Victoriaton,Mississippi,48738
19,Eaton and Sons,Robyn Allen,+1-360-784-3480,williammcbride@example.com,45719 Perez Motorway Apt. 043,New Deanna,Missouri,91288
20, Franklin and Morales,Alyssa Cervantes,+1-796-373-9953,albertcrane@example.net,818 Michael Stravenue,Brianborough,Oregon,99051
21,Nixon-Perry,Chad Allen,+1-435-454-4222,pamelaoneal@example.org,5078 Kristine Run,Lisafort,Illinois,99729
22,Neal PLC,Lori Hunter MD,+1-360-937-4639,steven26@example.com,4506 Kelsey Drives,New Jenniferbury,Utah,29027
